City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Manokwari,ID,-0.8667,134.0833,79.02,80,100,6.17,overcast clouds
282,Lata,PT,40.1629,-8.3327,56.91,67,0,5.66,clear sky
283,San Carlos De Bariloche,AR,-41.1456,-71.3082,58.75,47,75,6.91,broken clouds
284,College,US,64.8569,-147.8028,-20.42,70,7,3.15,clear sky
285,Gobabis,NA,-22.45,18.9667,75.04,48,93,13.47,light rain
286,Fairbanks,US,64.8378,-147.7164,-20.4,69,7,3.02,clear sky
287,Maceio,BR,-9.6658,-35.7353,90.84,55,40,17.27,scattered clouds
288,Gazli,UZ,40.1333,63.45,48.88,36,100,16.24,overcast clouds
289,Marawi,PH,7.9986,124.2928,64.65,97,100,2.84,overcast clouds
290,Vao,NC,-22.6667,167.4833,76.12,76,100,13.58,overcast clouds
291,Durazno,UY,-33.4131,-56.5006,75.15,50,75,6.91,broken clouds
292,Zhuhai,CN,22.2769,113.5678,65.98,39,0,14.97,clear sky
293,Baruun-Urt,MN,46.6806,113.2792,23.07,67,9,8.16,clear sky
294,Bilibino,RU,68.0546,166.4372,-15.47,98,100,12.95,overcast clouds
295,Xinyang,CN,32.1228,114.0656,47.57,29,96,1.86,overcast clouds
296,Owando,CG,-0.4819,15.8999,79.38,75,100,1.99,light rain
297,Scottsbluff,US,41.8666,-103.6672,42.3,74,6,4.0,clear sky
298,Fond Du Lac,US,43.775,-88.4388,36.75,99,100,4.0,overcast clouds
299,San Jose,US,37.3394,-121.895,53.92,92,90,5.75,mist
300,Anadyr,RU,64.75,177.4833,20.07,89,100,5.93,overcast clouds
301,Tuktoyaktuk,CA,69.4541,-133.0374,-18.18,95,98,14.0,overcast clouds
302,Nome,US,64.5011,-165.4064,3.27,85,90,25.32,light snow
303,Pimentel,PE,-6.8367,-79.9342,75.49,60,0,16.11,clear sky
304,Iralaya,HN,15.0,-83.2333,81.07,77,67,13.85,broken clouds
305,Tromso,NO,69.6496,18.957,20.37,79,0,3.44,clear sky
306,Diu,IN,20.7141,70.9822,73.2,65,2,5.59,clear sky
307,Meadville,US,41.6414,-80.1515,38.77,77,90,3.0,overcast clouds
308,Eydhafushi,MV,5.1033,73.0708,82.53,76,4,5.79,clear sky
