City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Manjeshwar,IN,2021-12-01 17:26:21,12.7194,74.8861,79.75,88,12,6.04
232,Safaga,EG,2021-12-01 17:26:22,26.7292,33.9365,73.35,56,2,21.16
233,Minsk,BY,2021-12-01 17:27:28,53.9,27.5667,26.35,96,70,5.82
234,Laguna,US,2021-12-01 17:27:34,38.421,-121.4238,69.62,90,1,1.01
235,Dukat,RU,2021-12-01 17:27:40,62.55,155.55,-34.47,100,19,3.04
236,Powell,US,2021-12-01 17:27:46,40.1578,-83.0752,45.12,84,90,1.99
237,Otta,NO,2021-12-01 17:27:52,61.7712,9.5353,14.05,82,98,4.07
238,Marzuq,YE,2021-12-01 17:27:52,14.4,46.4667,62.83,25,0,2.57
239,Quzhou,CN,2021-12-01 17:27:52,28.9594,118.8686,39.47,66,34,4.54
240,Nizhnevartovsk,RU,2021-12-01 17:27:53,60.9344,76.5531,30.22,100,90,8.95
241,Bambanglipuro,ID,2021-12-01 17:27:54,-7.95,110.2833,77.94,85,100,5.66
242,King City,US,2021-12-01 17:27:55,36.2127,-121.126,59.88,35,0,2.51
243,Grindavik,IS,2021-12-01 17:27:55,63.8424,-22.4338,28.87,74,90,8.05
244,Moerai,PF,2021-12-01 17:27:56,-22.4333,-151.3333,77.68,81,100,15.84
245,Gympie,AU,2021-12-01 17:27:56,-26.1898,152.665,71.31,99,37,3.38
246,Poum,NC,2021-12-01 17:27:56,-20.2333,164.0167,80.64,79,6,10.74
247,Urucara,BR,2021-12-01 17:27:57,-2.5364,-57.76,97.39,35,90,4.54
248,Hualmay,PE,2021-12-01 17:27:57,-11.0964,-77.6139,70.79,72,93,9.22
249,Korla,CN,2021-12-01 17:27:57,41.7597,86.1469,24.49,70,0,3.38
250,Puerto Leguizamo,CO,2021-12-01 17:27:58,-0.1934,-74.7819,89.42,52,94,4.52
251,Guapore,BR,2021-12-01 17:27:58,-28.8456,-51.8903,76.39,32,1,5.12
252,Otjiwarongo,NA,2021-12-01 17:27:59,-20.4637,16.6477,86.22,22,100,13.04
253,San Patricio,US,2021-12-01 17:19:28,28.017,-97.5169,78.66,64,93,7.61
254,Mwanza,TZ,2021-12-01 17:27:59,-2.5167,32.9,75.25,73,75,0.0
255,Virginia Beach,US,2021-12-01 17:26:19,36.8529,-75.978,61.02,49,1,1.01
256,Dayong,CN,2021-12-01 17:28:00,25.0209,118.2898,58.89,76,3,3.42
257,Hongjiang,CN,2021-12-01 17:28:00,27.11,109.9956,45.36,68,30,1.48
258,Tatulesti,RO,2021-12-01 17:28:01,44.6333,24.6333,44.26,77,85,7.2
259,Poya,NC,2021-12-01 17:28:01,-21.35,165.15,77.72,87,7,4.94
260,Fare,PF,2021-12-01 17:28:02,-16.7,-151.0167,81.05,76,99,21.97
261,Nanortalik,GL,2021-12-01 17:28:02,60.1432,-45.2371,33.91,97,99,35.54
262,Coquimbo,CL,2021-12-01 17:28:02,-29.9533,-71.3436,65.93,59,0,13.8
263,Grand Gaube,MU,2021-12-01 17:28:03,-20.0064,57.6608,77.4,72,8,3.0
264,Gorontalo,ID,2021-12-01 17:28:03,0.5412,123.0595,75.45,94,100,2.66
